"word1"	"freq"
"1"	"the"	2262
"2"	"and"	1325
"3"	"you"	656
"4"	"for"	615
"5"	"that"	565
"6"	"this"	356
"7"	"with"	339
"8"	"have"	313
"9"	"was"	305
"10"	"are"	272
"11"	"not"	251
"12"	"but"	247
"13"	"your"	222
"14"	"like"	215
"15"	"all"	208
"16"	"from"	191
"17"	"its"	182
"18"	"about"	180
"19"	"out"	180
"20"	"just"	179
"21"	"what"	175
"22"	"will"	173
"23"	"one"	170
"24"	"they"	169
"25"	"get"	147
"26"	"more"	144
"27"	"when"	142
"28"	"can"	141
"29"	"dont"	136
"30"	"time"	133
"31"	"some"	131
"32"	"know"	123
"33"	"had"	122
"34"	"now"	122
"35"	"there"	114
"36"	"our"	112
"37"	"how"	110
"38"	"day"	109
"39"	"his"	109
"40"	"their"	109
"41"	"has"	108
"42"	"love"	107
"43"	"who"	105
"44"	"would"	105
"45"	"them"	104
"46"	"her"	102
"47"	"new"	102
"48"	"been"	97
"49"	"good"	96
"50"	"people"	96
"51"	"were"	93
"52"	"great"	86
"53"	"think"	85
"54"	"well"	84
"55"	"really"	82
"56"	"she"	81
"57"	"much"	80
"58"	"only"	80
"59"	"see"	79
"60"	"got"	78
"61"	"too"	78
"62"	"thanks"	77
"63"	"back"	76
"64"	"even"	75
"65"	"than"	75
"66"	"also"	72
"67"	"make"	72
"68"	"very"	70
"69"	"because"	69
"70"	"come"	69
"71"	"right"	68
"72"	"then"	68
"73"	"want"	67
"74"	"going"	66
"75"	"way"	65
"76"	"first"	64
"77"	"said"	64
"78"	"cant"	63
"79"	"him"	63
"80"	"which"	63
"81"	"here"	62
"82"	"did"	61
"83"	"today"	61
"84"	"over"	60
"85"	"could"	59
"86"	"most"	59
"87"	"need"	59
"88"	"thats"	59
"89"	"these"	59
"90"	"happy"	57
"91"	"other"	57
"92"	"work"	57
"93"	"year"	57
"94"	"little"	56
"95"	"those"	56
"96"	"should"	55
"97"	"after"	54
"98"	"always"	54
"99"	"ive"	54
"100"	"take"	54
"101"	"why"	54
"102"	"things"	53
"103"	"where"	53
"104"	"lol"	52
"105"	"home"	51
"106"	"still"	51
"107"	"ill"	49
"108"	"two"	49
"109"	"best"	48
"110"	"getting"	48
"111"	"life"	48
"112"	"any"	47
"113"	"last"	46
"114"	"follow"	45
"115"	"say"	45
"116"	"youre"	45
"117"	"made"	43
"118"	"off"	43
"119"	"years"	43
"120"	"didnt"	42
"121"	"feel"	42
"122"	"into"	42
"123"	"look"	42
"124"	"doing"	41
"125"	"hope"	41
"126"	"long"	41
"127"	"never"	41
"128"	"next"	41
"129"	"something"	41
"130"	"again"	40
"131"	"school"	40
"132"	"tonight"	40
"133"	"while"	40
"134"	"being"	39
"135"	"book"	39
"136"	"fun"	39
"137"	"thought"	39
"138"	"week"	39
"139"	"many"	38
"140"	"try"	38
"141"	"before"	37
"142"	"big"	37
"143"	"ever"	37
"144"	"every"	37
"145"	"thing"	37
"146"	"game"	36
"147"	"sure"	36
"148"	"through"	36
"149"	"better"	35
"150"	"find"	35
"151"	"lot"	35
"152"	"since"	35
"153"	"world"	35
"154"	"around"	34
"155"	"another"	33
"156"	"few"	33
"157"	"help"	33
"158"	"night"	33
"159"	"put"	33
"160"	"thank"	33
"161"	"between"	32
"162"	"once"	32
"163"	"same"	32
"164"	"use"	32
"165"	"down"	31
"166"	"left"	31
"167"	"show"	31
"168"	"though"	31
"169"	"used"	31
"170"	"yes"	31
"171"	"coming"	30
"172"	"does"	30
"173"	"god"	30
"174"	"house"	30
"175"	"part"	30
"176"	"read"	30
"177"	"wait"	30
"178"	"anything"	29
"179"	"give"	29
"180"	"keep"	29
"181"	"live"	29
"182"	"man"	29
"183"	"nice"	29
"184"	"please"	29
"185"	"soon"	29
"186"	"check"	28
"187"	"each"	28
"188"	"everyone"	28
"189"	"looking"	28
"190"	"may"	28
"191"	"nothing"	28
"192"	"whats"	28
"193"	"let"	27
"194"	"music"	27
"195"	"old"	27
"196"	"person"	27
"197"	"such"	27
"198"	"tell"	27
"199"	"bit"	26
"200"	"call"	26
"201"	"days"	26
"202"	"doesnt"	26
"203"	"having"	26
"204"	"job"	26
"205"	"place"	26
"206"	"trying"	26
"207"	"went"	26
"208"	"done"	25
"209"	"far"	25
"210"	"found"	25
"211"	"own"	25
"212"	"start"	25
"213"	"amazing"	24
"214"	"anyone"	24
"215"	"bad"	24
"216"	"both"	24
"217"	"care"	24
"218"	"course"	24
"219"	"head"	24
"220"	"hear"	24
"221"	"must"	24
"222"	"name"	24
"223"	"online"	24
"224"	"wish"	24
"225"	"working"	24
"226"	"blog"	23
"227"	"during"	23
"228"	"end"	23
"229"	"everything"	23
"230"	"makes"	23
"231"	"minutes"	23
"232"	"morning"	23
"233"	"pretty"	23
"234"	"tried"	23
"235"	"twitter"	23
"236"	"watch"	23
"237"	"whole"	23
