"word1"	"word2"	"freq"
"1"	"in"	"the"	274
"2"	"of"	"the"	274
"3"	"to"	"the"	169
"4"	"on"	"the"	164
"5"	"for"	"the"	157
"6"	"to"	"be"	135
"7"	"is"	"a"	107
"8"	"at"	"the"	106
"9"	"and"	"i"	103
"10"	"in"	"a"	100
"11"	"it"	"was"	99
"12"	"and"	"the"	94
"13"	"i"	"have"	94
"14"	"i"	"was"	93
"15"	"with"	"the"	90
"16"	"i"	"am"	80
"17"	"for"	"a"	79
"18"	"if"	"you"	79
"19"	"is"	"the"	72
"20"	"but"	"i"	71
"21"	"have"	"a"	69
"22"	"i"	"dont"	67
"23"	"from"	"the"	66
"24"	"one"	"of"	65
"25"	"to"	"get"	64
"26"	"i"	"love"	63
"27"	"with"	"a"	63
"28"	"of"	"a"	62
"29"	"i"	"think"	61
"30"	"it"	"is"	61
"31"	"will"	"be"	61
"32"	"a"	"little"	59
"33"	"was"	"a"	58
"34"	"that"	"i"	56
"35"	"this"	"is"	56
"36"	"you"	"can"	56
"37"	"to"	"do"	54
"38"	"going"	"to"	53
"39"	"have"	"to"	53
"40"	"to"	"make"	53
"41"	"want"	"to"	53
"42"	"i"	"know"	51
"43"	"i"	"had"	50
"44"	"a"	"great"	49
"45"	"all"	"the"	49
"46"	"thanks"	"for"	49
"47"	"when"	"i"	49
"48"	"a"	"few"	48
"49"	"as"	"a"	48
"50"	"and"	"a"	46
"51"	"to"	"have"	46
"52"	"would"	"be"	46
"53"	"i"	"can"	45
"54"	"in"	"my"	45
"55"	"to"	"see"	45
"56"	"be"	"a"	44
"57"	"out"	"of"	44
"58"	"a"	"good"	43
"59"	"a"	"lot"	43
"60"	"thank"	"you"	43
"61"	"to"	"a"	43
"62"	"that"	"the"	42
"63"	"to"	"go"	42
"64"	"on"	"a"	41
"65"	"you"	"have"	41
"66"	"you"	"know"	41
"67"	"need"	"to"	40
"68"	"of"	"my"	40
"69"	"im"	"not"	39
"70"	"on"	"my"	39
"71"	"the"	"best"	39
"72"	"you"	"are"	39
"73"	"by"	"the"	38
"74"	"so"	"i"	38
"75"	"i"	"just"	37
"76"	"i"	"want"	37
"77"	"i"	"will"	37
"78"	"if"	"i"	37
"79"	"we"	"are"	37
"80"	"back"	"to"	36
"81"	"has"	"been"	35
"82"	"i"	"cant"	35
"83"	"go"	"to"	34
"84"	"had"	"a"	34
"85"	"are"	"you"	33
"86"	"a"	"new"	32
