"word1"	"word2"	"word3"	"word4"	"freq"
"1"	"thanks"	"for"	"the"	"follow"	9
"2"	"the"	"end"	"of"	"the"	7
"3"	"is"	"one"	"of"	"the"	6
"4"	"when"	"it"	"comes"	"to"	6
"5"	"a"	"lot"	"of"	"people"	5
"6"	"at"	"the"	"end"	"of"	5
"7"	"i"	"cant"	"wait"	"to"	5
"8"	"on"	"my"	"way"	"to"	5
"9"	"a"	"bit"	"of"	"a"	4
"10"	"cant"	"wait"	"to"	"see"	4
"11"	"going"	"to"	"be"	"a"	4
"12"	"had"	"a"	"great"	"time"	4
"13"	"i"	"dont"	"want"	"to"	4
"14"	"no"	"matter"	"how"	"much"	4
"15"	"on"	"the"	"other"	"hand"	4
"16"	"one"	"of"	"the"	"best"	4
"17"	"reds"	"reds"	"reds"	"reds"	4
"18"	"should"	"be"	"able"	"to"	4
"19"	"the"	"bottom"	"of"	"the"	4
"20"	"the"	"rest"	"of"	"the"	4
"21"	"to"	"go"	"to"	"the"	4
"22"	"when"	"i"	"get"	"home"	4
"23"	"a"	"lot"	"of"	"fun"	3
"24"	"and"	"around"	"and"	"around"	3
"25"	"and"	"i"	"want"	"to"	3
"26"	"are"	"a"	"lot"	"of"	3
"27"	"around"	"and"	"around"	"and"	3
"28"	"be"	"a"	"lot"	"of"	3
"29"	"end"	"of"	"the"	"month"	3
"30"	"for"	"the"	"most"	"part"	3
"31"	"goes"	"a"	"long"	"way"	3
"32"	"have"	"a"	"great"	"day"	3
"33"	"i"	"am"	"not"	"a"	3
"34"	"i"	"cant"	"wait"	"for"	3
"35"	"i"	"dont"	"think"	"i"	3
"36"	"i"	"feel"	"like"	"i"	3
"37"	"i"	"want"	"to"	"be"	3
"38"	"its"	"going"	"to"	"be"	3
"39"	"let"	"me"	"know"	"if"	3
"40"	"might"	"be"	"able"	"to"	3
"41"	"not"	"just"	"talking"	"about"	3
"42"	"one"	"of"	"the"	"most"	3
"43"	"sounds"	"like"	"a"	"good"	3
"44"	"thank"	"you"	"for"	"the"	3
"45"	"thanks"	"for"	"the"	"rt"	3
"46"	"that"	"it"	"was"	"a"	3
"47"	"the"	"difference"	"between"	"a"	3
"48"	"the"	"life"	"of"	"a"	3
"49"	"there"	"are"	"a"	"lot"	3
"50"	"there"	"is"	"no"	"way"	3
"51"	"they"	"need"	"to"	"be"	3
"52"	"to"	"check"	"out"	"the"	3
"53"	"to"	"the"	"bottom"	"of"	3
"54"	"what"	"are"	"you"	"doing"	3
"55"	"when"	"are"	"you"	"coming"	3
"56"	"would"	"love"	"to"	"hear"	3
"57"	"you"	"dont"	"know"	"how"	3
"58"	"a"	"big"	"thanks"	"to"	2
"59"	"a"	"certain"	"set"	"of"	2
"60"	"a"	"chance"	"to"	"win"	2
"61"	"a"	"few"	"weeks"	"ago"	2
"62"	"a"	"few"	"years"	"ago"	2
"63"	"a"	"good"	"time"	"to"	2
"64"	"a"	"gun"	"to"	"my"	2
"65"	"a"	"little"	"bit"	"of"	2
"66"	"a"	"little"	"goes"	"a"	2
"67"	"a"	"long"	"time"	"but"	2
"68"	"a"	"portion"	"of"	"the"	2
"69"	"a"	"time"	"is"	"coming"	2
"70"	"a"	"way"	"to"	"make"	2
"71"	"a"	"week"	"by"	"week"	2
"72"	"am"	"so"	"happy"	"to"	2
"73"	"and"	"i"	"have"	"the"	2
"74"	"and"	"paint"	"the"	"walls"	2
"75"	"and"	"the"	"ability"	"to"	2
"76"	"are"	"one"	"of"	"my"	2
"77"	"are"	"you"	"coming"	"to"	2
"78"	"around"	"the"	"house"	"i"	2
"79"	"as"	"a"	"result"	"of"	2
"80"	"as"	"far"	"as"	"i"	2
"81"	"as"	"much"	"as"	"i"	2
"82"	"as"	"one"	"of"	"the"	2
"83"	"as"	"soon"	"as"	"i"	2
