"word1"	"word2"	"word3"	"word4"	"word5"	"freq"
"1"	"at"	"the"	"end"	"of"	"the"	4
"2"	"around"	"and"	"around"	"and"	"around"	3
"3"	"is"	"one"	"of"	"the"	"most"	3
"4"	"its"	"going"	"to"	"be"	"a"	3
"5"	"reds"	"reds"	"reds"	"reds"	"reds"	3
"6"	"the"	"end"	"of"	"the"	"month"	3
"7"	"there"	"are"	"a"	"lot"	"of"	3
"8"	"a"	"chance"	"to"	"win"	"a"	2
"9"	"a"	"gun"	"to"	"my"	"head"	2
"10"	"a"	"little"	"goes"	"a"	"long"	2
"11"	"and"	"around"	"and"	"around"	"and"	2
"12"	"be"	"a"	"lot"	"of"	"fun"	2
"13"	"by"	"the"	"end"	"of"	"the"	2
"14"	"day"	"in"	"the"	"life"	"of"	2
"15"	"dont"	"know"	"what"	"it"	"means"	2
"16"	"especially"	"when"	"it"	"comes"	"to"	2
"17"	"feel"	"like"	"they"	"need"	"to"	2
"18"	"for"	"a"	"chance"	"to"	"win"	2
"19"	"for"	"me"	"when"	"i"	"get"	2
"20"	"going"	"to"	"be"	"a"	"good"	2
"21"	"gun"	"to"	"my"	"head"	"and"	2
"22"	"had"	"as"	"a"	"result"	"of"	2
"23"	"head"	"and"	"paint"	"the"	"walls"	2
"24"	"hm"	"love"	"at"	"first"	"sight"	2
"25"	"i"	"am"	"so"	"happy"	"to"	2
"26"	"i"	"dont"	"want"	"to"	"go"	2
"27"	"i"	"hope"	"you"	"have"	"a"	2
"28"	"in"	"the"	"life"	"of"	"a"	2
"29"	"in"	"the"	"secret"	"recipe"	"club"	2
"30"	"is"	"the"	"way"	"to"	"go"	2
"31"	"just"	"because"	"i"	"want"	"to"	2
"32"	"let"	"me"	"know"	"if"	"you"	2
"33"	"let"	"the"	"good"	"times"	"roll"	2
"34"	"little"	"goes"	"a"	"long"	"way"	2
"35"	"little"	"in"	"the"	"way"	"of"	2
"36"	"matter"	"how"	"much"	"of"	"a"	2
"37"	"me"	"when"	"i"	"get"	"home"	2
"38"	"might"	"be"	"able"	"to"	"come"	2
"39"	"my"	"head"	"and"	"paint"	"the"	2
"40"	"no"	"matter"	"how"	"much"	"of"	2
